Year;Month;Power Source;Total Investment (rmb x 100 million yuan);Cumulative YOY Growth
2011;7;All;1768.0;
2011;9;Coal;742.0;
2010;6;Nuclear;258.0;
2015;11;Hydro;604.0;-23.1
2016;12;Nuclear;505.725414;-10.5037925580304
2013;8;Wind;294.0;
2012;3;Wind;128.0;
2011;2;Nuclear;92.0;
2015;5;Hydro;223.0;-11.0
2015;8;Nuclear;546.0;
2011;8;Coal;660.0;
2018;11;Nuclear;378.0;12.3
2011;12;Wind;829.0;-0.2
2018;2;Coal;76.0;-2.6
2015;2;Coal;152.0;79.0
2017;10;Wind;470.8001;-13.9965474407219
2015;6;Wind;397.0;43.7
2018;3;All;424.0;10.5
2009;10;Coal;1008.0;
2013;11;Hydro;1098.0;
2010;11;Coal;1111.0;
2010;7;All;1668.0;
2011;2;Coal;122.0;
2014;8;All;1722.0;
2010;7;Nuclear;299.0;
2010;11;Wind;730.0;
2014;5;Coal;271.0;
2010;11;Hydro;678.0;
2010;3;Wind;65.0;
2014;6;Coal;355.0;
2010;9;All;2311.0;
2014;8;Wind;444.0;
2017;8;Nuclear;242.4842;-15.7565807161155
2013;3;Wind;73.0;
2017;4;Coal;152.582792;-19.9806232675864
2017;4;Nuclear;100.810168;-21.8904878571291
2016;9;All;1989.0;-10.8624096589
2012;4;Coal;208.0;
2015;12;Wind;1159.0;26.6
2017;4;All;522.535971;-21.1817339656875
2009;8;Wind;292.0;
2015;3;Nuclear;95.0;-11.3
2015;3;Hydro;133.0;-13.5
2013;4;Coal;225.0;
2014;6;Hydro;334.0;
2012;5;Coal;295.0;
2009;10;Hydro;505.0;
2009;7;Coal;2346.0;
2017;9;Coal;495.5485;-24.9983013513019
2016;3;Coal;126.0;-19.5
2012;9;Wind;343.0;
2009;11;Wind;493.0;
2007;12;All;3041.0;
2009;9;Wind;345.0;
2016;2;Hydro;86.0;-43.5
2015;7;All;1586.0;7.7
2012;6;Hydro;553.0;
2013;6;Coal;384.0;
2011;9;Nuclear;532.0;
2014;11;Nuclear;470.0;-10.4
2011;10;All;2760.0;
2014;10;Coal;659.0;-5.9
2009;9;All;1997.0;
2014;4;All;658.0;
2013;6;All;1405.0;
2008;12;All;2878.0;
2010;4;All;748.0;
2011;7;Wind;339.0;
2011;4;All;867.0;
2011;10;Hydro;708.0;
2010;3;All;480.0;
2017;10;Coal;572.7531;-25.2933207698966
